protein_num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
time11,0.048980072,0.14775136,0.22287482,0.22401893,0.16892561,0.10189762,0.051213715,0.022063378,0.008317167,0.002787234,8.40E-04,2.30E-04,5.79E-05,1.34E-05,2.89E-06,5.81E-07,1.09E-07,1.94E-08,3.25E-09,4.99E-10,5.18E-11
time12,0.04906903,0.14794567,0.22298273,0.22404636,0.16882472,0.101778455,0.0511294,0.022016779,0.008293233,0.002777133,8.37E-04,2.29E-04,5.76E-05,1.33E-05,2.87E-06,5.77E-07,1.09E-07,1.93E-08,3.22E-09,4.96E-10,5.21E-11
time13,0.049148403,0.14807771,0.22310254,0.2240774,0.16871628,0.10168726,0.051052388,0.021967094,0.008272319,0.002768687,8.34E-04,2.28E-04,5.73E-05,1.33E-05,2.86E-06,5.74E-07,1.08E-07,1.91E-08,3.20E-09,4.93E-10,5.23E-11
time14,0.04921756,0.14822008,0.22318338,0.22405888,0.16867411,0.10157935,0.05097639,0.021926885,0.008254495,0.002761294,8.31E-04,2.28E-04,5.71E-05,1.32E-05,2.84E-06,5.71E-07,1.07E-07,1.90E-08,3.18E-09,4.90E-10,5.25E-11
time15,0.049275223,0.14833145,0.22331917,0.22402953,0.16860533,0.10149967,0.050922815,0.021897215,0.008237647,0.002754516,8.29E-04,2.27E-04,5.69E-05,1.32E-05,2.83E-06,5.68E-07,1.07E-07,1.89E-08,3.16E-09,4.88E-10,5.27E-11
time16,0.0493352,0.14844716,0.22333133,0.22404717,0.16854092,0.1014382,0.050870437,0.0218634,0.008223194,0.002749597,8.27E-04,2.26E-04,5.67E-05,1.31E-05,2.82E-06,5.66E-07,1.06E-07,1.88E-08,3.15E-09,4.86E-10,5.29E-11
time17,0.049380068,0.14854702,0.2234274,0.22404772,0.16846538,0.101357095,0.050815605,0.021838615,0.008209041,0.002743938,8.25E-04,2.26E-04,5.66E-05,1.31E-05,2.81E-06,5.64E-07,1.06E-07,1.87E-08,3.13E-09,4.84E-10,5.30E-11
time18,0.049422,0.1486312,0.22352919,0.22404353,0.16842985,0.10130958,0.05077285,0.021807525,0.008198209,0.002739216,8.24E-04,2.25E-04,5.64E-05,1.30E-05,2.80E-06,5.62E-07,1.06E-07,1.87E-08,3.12E-09,4.82E-10,5.32E-11
time19,0.049460802,0.14869808,0.22355945,0.2240377,0.16839929,0.10126002,0.050732236,0.021788228,0.008188441,0.002735088,8.22E-04,2.25E-04,5.63E-05,1.30E-05,2.80E-06,5.60E-07,1.05E-07,1.86E-08,3.11E-09,4.81E-10,5.33E-11
time20,0.049498443,0.14876993,0.22360201,0.22404818,0.16836321,0.10121056,0.050705355,0.021771142,0.008178984,0.002731569,8.21E-04,2.24E-04,5.62E-05,1.30E-05,2.79E-06,5.59E-07,1.05E-07,1.86E-08,3.10E-09,4.80E-10,5.34E-11

